Object,M [M_sun],a_* (assumed/est.),t_g [s],r_s [km],r_ISCO [r_g] (Kerr),f_ISCO [Hz] Schwarz,f_ISCO [Hz] Kerr,f_Kerr / f_Schwarz,L/L_Edd (assumed),eta_eff,B_H [G],P_BZ [erg/s]
Cygnus X-1,21.2,0.95,0.00010442356575197402,62.61079489981782,1.9372378781396629,103.70381590950318,417.98877439864197,4.030601677795527,0.02,0.1,122859023.36679025,7.558716049382714e+37
Sgr A*,4300000.0,0.5,21.180251544032465,12699359.342887577,4.233002529530826,0.0005112839296003412,0.0008159664231569315,1.5959164290470726,1e-08,0.1,192.89712886816486,2.1234567901234572e+36
Sgr A*,4300000.0,0.5,21.180251544032465,12699359.342887577,4.233002529530826,0.0005112839296003412,0.0008159664231569315,1.5959164290470726,1e-08,0.01,609.9942813304186,2.123456790123457e+37
M87*,6500000000.0,0.9,32016.65931074675,19196705983.434708,2.320883041761887,3.382339841971488e-07,1.1206716475937731e-06,3.3133029203255915,3e-06,0.1,85.93378488473195,3.12e+42
M87*,6500000000.0,0.9,32016.65931074675,19196705983.434708,2.320883041761887,3.382339841971488e-07,1.1206716475937731e-06,3.3133029203255915,3e-06,0.01,271.746488194703,3.12e+43
